x,y,Crop.productivity,Forest.productivity,Grassland.productivity,Financial.capital,Human.capital,Social.capital,Manufactured.capital,Urban.capital,FR,BT
150,77,0,0,0.266460696,0.613918483,0.579316051,0.600641795,0.605329741,0.029809303,Multifun,0
151,77,0,0,0.275048349,0.613918483,0.579316051,0.600641795,0.605329741,0.000227485,Multifun,0
152,77,0,0,0.257351813,0.613918483,0.579316051,0.600641795,0.605329741,0.00535465,EP,0
153,77,0,0,0.258822682,0.613918483,0.579316051,0.600641795,0.605329741,0.038418741,Multifun,0
154,77,0,0,0.258413151,0.613918483,0.579316051,0.600641795,0.605329741,0.003149794,Multifun,0
155,77,0,0,0.265406831,0.613918483,0.579316051,0.600641795,0.605329741,0.013614111,EP,0
156,77,0,0.459926153,0.271934934,0.613918483,0.579316051,0.600641795,0.605329741,0.020342421,MF,0
157,77,0,0.439229529,0.269857243,0.613918483,0.579316051,0.600641795,0.605329741,0.051490387,MF,0
158,77,0,0.488381677,0.262452508,0.613918483,0.579316051,0.600641795,0.605329741,0.030999225,MF,0
152,78,0,0.110513144,0.490257573,0.625524137,0.597333863,0.598750338,0.691378737,0.004456879,EP,0
155,78,0,0.097134996,0.283700686,0.611985217,0.57749175,0.598750338,0.603423522,0.012611833,MF,0
156,78,0,0.095747541,0.305855079,0.611985217,0.57749175,0.598750338,0.603423522,0.001360613,MF,0
145,77,0,0,0.248844838,0.620839921,0.597922707,0.600641795,0.754753288,0.032539125,Multifun,0
145,78,0,0.174828721,0.450623168,0.618884859,0.596039812,0.598750338,0.752376525,0.040286345,Int_AF,0
146,78,0,0,0.244715155,0.618884859,0.596039812,0.598750338,0.752376525,0.021673862,Multifun,0
147,78,0,0,0.236228695,0.618884859,0.596039812,0.598750338,0.752376525,0,Multifun,0
148,78,0,0,0.232796923,0.618884859,0.596039812,0.598750338,0.752376525,0.003959732,Multifun,0
149,78,0,0,0.240048614,0.618884859,0.596039812,0.598750338,0.752376525,0.004823197,Multifun,0
150,78,0,0,0.240898715,0.618884859,0.596039812,0.598750338,0.752376525,0.000898353,Multifun,0
151,78,0,0.110513144,0.471224531,0.618884859,0.596039812,0.598750338,0.752376525,0.013327027,Int_AF,0
144,79,0.048714911,0.537297435,0.451456586,0.616924185,0.594151513,0.596853452,0.749992939,0.031447082,Mix_P,0
145,79,0.048984296,0.537297517,0.448380786,0.616924185,0.594151513,0.596853452,0.749992939,0.053513075,Mix_P,0
146,79,0.049105405,0.537297517,0.450367745,0.616924185,0.594151513,0.596853452,0.749992939,0.084655858,Mix_P,0
147,79,0.050007157,0.537297517,0.455586102,0.616924185,0.594151513,0.596853452,0.749992939,0.029603902,Mix_P,0
148,79,0.0482885,0.537297517,0.45163832,0.616924185,0.594151513,0.596853452,0.749992939,0.037289614,Mix_P,0
149,79,0.113258878,0.24894424,0.446206621,0.616924185,0.594151513,0.596853452,0.749992939,0.022813697,MF,0
150,79,0.113769724,0.248976029,0.454918913,0.616924185,0.594151513,0.596853452,0.749992939,0.010094018,MF,0
151,79,0.108980685,0.248974715,0.462811594,0.616924185,0.594151513,0.596853452,0.749992939,0.009850579,MF,0
141,80,0.104818608,0.255294917,0.43982616,0.614958433,0.592258324,0.594951653,0.747603181,0.009931856,IP,0
142,80,0.105824922,0.255294917,0.435642454,0.614958433,0.592258324,0.594951653,0.747603181,0.041885394,IP,0
143,80,0.111285982,0.239969489,0.429922095,0.614958433,0.592258324,0.594951653,0.747603181,0.025210969,IP,0
144,80,0.049802473,0.41524529,0.450641357,0.614958433,0.592258324,0.594951653,0.747603181,0.027091608,IP,0
145,80,0.049931069,0.481734495,0.450195092,0.614958433,0.592258324,0.594951653,0.747603181,0.048957292,IP,0
146,80,0.11311066,0.253230991,0.431121955,0.614958433,0.592258324,0.594951653,0.747603181,0.046132,IP,0
147,80,0.112689293,0.251593508,0.432825883,0.614958433,0.592258324,0.594951653,0.747603181,0.066368374,IP,0
148,80,0.111031342,0.254799939,0.429864973,0.614958433,0.592258324,0.594951653,0.747603181,0.058689818,IP,0
149,80,0.110445923,0.252985508,0.428988903,0.614958433,0.592258324,0.594951653,0.747603181,0.068292346,IP,0
150,80,0.10553555,0.249794307,0.435358644,0.614958433,0.592258324,0.594951653,0.747603181,0.092454663,Int_AF,0
142,81,0.099735259,0,0.453383784,0.61298707,0.59035973,0.593044425,0.745206601,0.065127614,IP,0
143,81,0.103128947,0.254476522,0.440193416,0.61298707,0.59035973,0.593044425,0.745206601,0.034891948,IP,0
144,81,0.106850532,0.254476522,0.427142702,0.61298707,0.59035973,0.593044425,0.745206601,0.056860313,IP,0
145,81,0.111938066,0.254476522,0.427984217,0.61298707,0.59035973,0.593044425,0.745206601,0.019713648,IP,0
146,81,0.110965675,0.254476522,0.427763256,0.61298707,0.59035973,0.593044425,0.745206601,0.034019433,IP,0
147,81,0.110059069,0.250062602,0.427625107,0.61298707,0.59035973,0.593044425,0.745206601,0.041500599,IP,0
148,81,0.109745579,0.250408997,0.430153341,0.61298707,0.59035973,0.593044425,0.745206601,0.099008818,Int_AF,0
149,81,0.250879177,0.112596964,0.402271267,0.61298707,0.59035973,0.593044425,0.745206601,0.310390616,Multifun,0
